                               No. of Molecules =     1600
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         42.3212
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en       -2105.83958
        Step              PE              KE                TE 
       510         -2088.50985         387.80921       -1700.70064
       511         -2088.53239         387.83175       -1700.70064
       512         -2088.55747         387.85683       -1700.70064
       513         -2088.58509         387.88445       -1700.70064
       514         -2088.61523         387.91459       -1700.70064
       515         -2088.64787         387.94723       -1700.70064
       516         -2088.68302         387.98238       -1700.70064
       517         -2088.72064         388.02000       -1700.70064
       518         -2088.76073         388.06009       -1700.70064
       519         -2088.80328         388.10265       -1700.70064
       520         -2088.84826         388.14763       -1700.70063
       521         -2088.89566         388.19502       -1700.70064
       522         -2088.94546         388.24483       -1700.70063
       523         -2088.99764         388.29700       -1700.70064
       524         -2089.05213         388.35149       -1700.70065
       525         -2089.10889         388.40825       -1700.70064
       526         -2089.16793         388.46728       -1700.70064
       527         -2089.22919         388.52855       -1700.70064
       528         -2089.29265         388.59202       -1700.70064
       529         -2089.35830         388.65766       -1700.70064
       530         -2089.42611         388.72548       -1700.70063
       531         -2089.49607         388.79542       -1700.70064
       532         -2089.56813         388.86749       -1700.70064
       533         -2089.64228         388.94164       -1700.70064
       534         -2089.71848         389.01784       -1700.70064
       535         -2089.79670         389.09606       -1700.70064
       536         -2089.87693         389.17629       -1700.70064
       537         -2089.95912         389.25848       -1700.70064
       538         -2090.04327         389.34263       -1700.70064
       539         -2090.12935         389.42871       -1700.70065
       540         -2090.21734         389.51669       -1700.70065
       541         -2090.30719         389.60654       -1700.70064
       542         -2090.39889         389.69825       -1700.70064
       543         -2090.49242         389.79177       -1700.70065
       544         -2090.58774         389.88709       -1700.70065
       545         -2090.68484         389.98419       -1700.70065
       546         -2090.78368         390.08303       -1700.70065
       547         -2090.88426         390.18361       -1700.70065
       548         -2090.98657         390.28591       -1700.70066
       549         -2091.09057         390.38990       -1700.70067
       550         -2091.19621         390.49554       -1700.70067
       551         -2091.30348         390.60280       -1700.70067
       552         -2091.41233         390.71166       -1700.70067
       553         -2091.52275         390.82208       -1700.70067
       554         -2091.63471         390.93404       -1700.70067
       555         -2091.74818         391.04750       -1700.70067
       556         -2091.86313         391.16246       -1700.70067
       557         -2091.97952         391.27885       -1700.70067
       558         -2092.09729         391.39662       -1700.70067
       559         -2092.21640         391.51573       -1700.70067
       560         -2092.33682         391.63615       -1700.70067
       561         -2092.45850         391.75783       -1700.70067
       562         -2092.58140         391.88073       -1700.70068
       563         -2092.70547         392.00479       -1700.70068
       564         -2092.83065         392.12997       -1700.70068
       565         -2092.95689         392.25621       -1700.70068
       566         -2093.08412         392.38345       -1700.70067
       567         -2093.21231         392.51163       -1700.70067
       568         -2093.34138         392.64070       -1700.70068
       569         -2093.47128         392.77060       -1700.70068
       570         -2093.60196         392.90129       -1700.70068
       571         -2093.73337         393.03269       -1700.70068
       572         -2093.86542         393.16474       -1700.70069
       573         -2093.99806         393.29737       -1700.70069
       574         -2094.13120         393.43051       -1700.70069
       575         -2094.26481         393.56412       -1700.70069
       576         -2094.39882         393.69813       -1700.70069
